用户名,性别,点赞数,内容
衰仔路人,男,2,我要没记错的话，作者是木铃亭[doge]
八十八岁扶墙冲浪,男,3,两个小时，我尽力了家人们，我没收藏，实在找不到了[大哭][大哭]
于舟23333,男,327,"作者 木铃亭
jm426532
给我赞，看看我帮助了多少人[tv_doge]"
Mr_画凉,保密,1,回复 @于舟23333 :hero[脱单doge][打call]
文明屠戮,男,3,回复 @八十八岁扶墙冲浪 :426532
感动米國周可儿,保密,0,回复 @于舟23333 :hero！
电次の诺奖,保密,0,回复 @于舟23333 :我的天哪，你简直是英雄
卡比sama_o,保密,4,回复 @于舟23333 :于丹大统领我们敬爱你吔！
AixFoja,男,3,回复 @于舟23333 :于舟武神，何时来的？是了，我也爱你
郑泰宇,保密,1,回复 @卡比sama_o :名字都敢打错，叉出去😡
核动力自走发电机,保密,0,回复 @于舟23333 :[保佑][保佑]好人一生平安
愁云汐,保密,1,回复 @于舟23333 :中国式英雄
Albedo哒,保密,0,看过😂
wlop今天更新了没,男,1,没，作者后记里面写，男主找的女朋友和老师很像
蓝色光标已存在,男,1,他妈我好像看过，嘶
枪尖儿猫,男,0,回复 @于舟23333 :mua[给心心]
L妄想盗日,保密,0,回复 @于舟23333 :你是我的神！
一般通过幻影特工,保密,1,回复 @于舟23333 :而你 我的朋友，你才是真正的英雄[脱单doge]
你的焯级英熊,男,0,回复 @wlop今天更新了没 :那说明男主对老师还是有感情的，当时看到结尾的时候还感觉男主很渣，给老师都整哭了，突然让我没兴趣了
我怎么还在摸鱼,保密,0,回复 @守护灬任帝 :救救孩子我的jm突然不能用了一直让我更新[大哭]
守护灬任帝,保密,0,回复 @我怎么还在摸鱼 :大概率可以重新下载，应该有三个更新窗口，一个是数据包，两个是下载
陈郁o_o,保密,1,回复 @于舟23333 :英雄登场
我家有只W,保密,0,回复 @于舟23333 :而你，我的朋友，你是真正的英雄。
我怎么还在摸鱼,保密,0,回复 @守护灬任帝 :我重新下好几遍了一直不行[大哭]一直弹让我更新，但我已经是1.66最新了
木-舟-,男,0,回复 @于舟23333 :昨晚刚看，只能说木铃的画风真的顶[脱单doge]
奶茶多加糖嗷,男,0,回复 @于舟23333 :战，自幼善言[战双帕弥什2_丽芙帕瓦]
_fx,男,0,一途なお姉さんと再会したらドスケベ求婚されてセックス漬けになる話
巳-嗣,男,0,眼
聋子听见哑巴说瞎子遇见鬼了,保密,1,我们是真心相爱的[傲娇]
暮缘奈月,男,39,警察同志，我们准备结婚了，只是在给女方彩礼，什么?588元，600元，399元，800元?这您就不知道了，这是分期给的[doge]
敷岛狂三,保密,20,回复 @暮缘奈月 :这车牌号怎么这么长？
Spica_Kitasan,男,7,回复 @敷岛狂三 :你是真饿了
暮缘奈月,男,12,回复 @敷岛狂三 :你这辈子就是被jm害了
筱橘ORG,保密,9,回复 @敷岛狂三 :戳啦，是两个车牌啦，588600和399800嘛
Dr-赤鳶,男,3,回复 @暮缘奈月 :警察：这点彩礼你准备糊弄谁呢！（震声
暮缘奈月,男,0,回复 @Dr-赤鳶 :分期给彩礼啊……(颤抖)[doge]
曲酸霜,保密,0,回复 @敷岛狂三 :JM综合征
75890000202_bili,保密,0,请问警察蜀黍是对谁说的
纯黑色の皮革兄,男,0,回复 @敷岛狂三 :你是只进油盐啊
黑山小小小小小妖,保密,0,这玩意好像就是本啊
臭小子还不点关注,男,5,回复 @黑山小小小小小妖 :不是本[滑稽]
黑川凛夜,保密,53,回复 @黑山小小小小小妖 :本已经死了，帕克🙂
四月的风あ,保密,3,但是新终极蜘蛛侠的本没死[吃瓜]
想吃胖的章鱼丸,保密,2,回复 @黑川凛夜 :我嫉妒你的菜花
初音未来偷袭珍珠港,保密,0,回复 @黑山小小小小小妖 :不是，这是推上一个画师的小短篇
把御坂的呱太还给御坂,女,1,回复 @黑川凛夜 :nb
红桃皇后假说,男,0,日语的正直是个多义词[脱单doge]
繁星酒窖,男,0,老师，请和我结婚[给心心]
漆黑之花,保密,2,所以说这是漫画（艺术）啊[笑哭]，高于生活[龙年]
Virginiap,男,0,回复 @漆黑之花 :就是因为看了漫画，才会感叹生活啊[笑哭]
零葬黑魔王,男,0,你已经结婚了 我不能当小三[doge]
诺斯菲_弗茨亚茨,女,0,給個鏈接，師生戀嗎
黑暗千手,保密,0,回复 @诺斯菲_弗茨亚茨 :这漫画是纯爱，上海是ntr哈哈哈
_南瓜大王,男,0,yes！yes！
黑暗千手,保密,1,哇！
日落弘河底,保密,0,177351搜不到啊
avmgcc,男,0,马克龙：？
超の大吉,保密,3,二次元美化太多了，实际上女性过了30岁8成都是看得出来的，虽然皱纹肯定是没有但是皮肤的状态和二十左右的女性是比不了的
眞翼,女,2,这性格，妆容，你不说，我还以为她17岁呢
月隐之龙,保密,2,神雕侠侣是吧？
随缘乀,保密,1,我咋感觉在哪部本子里看过这个剧情
爱莉希雅送来一个飞吻,保密,1,待会就去学校了，看到这个突然感觉……好像本来就不差的心情更好了
究拆活紫,保密,1,马克龙直呼内行
时崎禁雨,保密,1,我大学舍友去年终于和他所思的高中老师结婚了
我不拉黑你呢,保密,1,":业余
马克龙:我说业余"
宇宙提督章北海,男,0,"现在是，幻想时间[墨镜]
观感上足够甜蜜治愈，但在人物刻画上经不起推敲

一方面以女主30+的年纪，面对男主告白时的神态举止，包括以往恋爱经历中的表现，都可以称得上是严重不符合年龄的慌张与稚嫩；

当然，这些可以用少女心解释，或者对读者做出的淡入感妥协，但另一方面，18岁的男主刚成年就来告白，衣着与谈吐却都诡异地成熟稳重，看似被拒，实则稳稳拿捏，如此熟练的话术出自一个单恋8年的楚南之口，实在有些跳脱，除非男主在撒谎，这些年早已成长为情场高手，再或者，就只有穿越才能解释的通了。

因此，我其实不太理解作者在初期构思时是如何定位这两个角色的。从另一个角度讲，如果男女主两人的年龄互换，一切反而会合理很多：

三十多的成熟男主向刚刚成年的女主表露自己的心意，而涉世未深的女主面对成年世界的未知和这巨大的年龄差而慌里慌张，无所适从，但的的确确对前者抱有好感。因此开始故作成熟，讲些空洞的道理，却被成熟的大叔轻松化解，虽然最后拒绝，两人的心却也已经纠缠不清了"
烟烟烟烟烟烟老师,男,1,逆天，有必要画这么大吗？😨看着挺纯爱的但是这两个篮球就捏妈离谱
bsahz,保密,1,"这男主怎么一股子gay味啊[笑哭]
这是男女观众都想要吗？"
刚刚好的奇迹,男,0,[笑哭]小时候确实有个很漂亮的女老师，很喜欢她
戴逸飞,男,0,就喜欢看老女人抓狂害羞
宋小烦8251,男,0,想你了牢张
心星ちやん,男,0,好好好，非常好呀
坏包包,男,0,发到小红书能火系列[doge]
十万永恒,男,0,大
基地暖手海豹,保密,0,好耶，纯爱[星星眼]
我应该不会被绿吧,男,0,为了道馆  真是想象力丰富@[doge]
秋雨悲风,男,0,冲师逆徒[笑哭]
日落弘河底,保密,0,230820搜不到啊
异色线条的尘埃,保密,0,回复 @日落弘河底 :你是真的饿了
没有进步一直薯薯的T,保密,0,啊？西索[脱单doge]
时崎禁雨,保密,0,回复 @没有进步一直薯薯的T :高中他就喜欢了好像 大学毕业典礼才完全追到手（）
vomicer,男,0,[脱单doge][脱单doge][脱单doge]
没有进步一直薯薯的T,保密,0,女性向画风吧，那种漫画都是画得帅帅的[笑哭]
机器人2538,保密,0,靠，这面相我还以为那男的是老师呢
叹息者老曾,男,1,"看在纯爱的份上
 
 
 
 
 
 
其实我老婆也是年上[喜极而泣]"
カップ麺大好きXさん,保密,0,"说实话，男主看起来更像35，女主像18[笑哭]
二次元的年龄真是魔幻啊，毕竟天下间还有十七八岁的老太婆呢[doge]"
Rider-爱德华蒂奇,男,0,17岁还是有点。。。就比如说我，我现在26岁，比我大17岁那就是43，说实话我现在看年近40的女性都会觉得应该叫阿姨，漫画里画的太年轻了完全不是35的样子
新乃夜,男,0,好早的时候大妈看过，更得有点慢就没追了
一只人形Flowey,男,0,暴力色情的时代已经结束啦！现在是纯爱！纯爱才是最好的！[初音未来V4C五周年纪念_冲鸭][初音未来V4C五周年纪念_冲鸭][初音未来V4C五周年纪念_冲鸭]
鬼剑灬红眼,保密,0,成年了，我不反对
白无所黑念,保密,0,纯爱赛高呜呜呜呜呜呜呜
绯色达拉斯,保密,0,嫩草喂老牛
电弧星丶,保密,0,二刺螈没有皮肤衰老一说[热]
只想朝九晚五,保密,0,这画风……怎么一眼恋超人啊[doge]
2号猴子,保密,0,不愧是二次元，保养的就是好[doge]
嗟怨震天若麦亲,男,0,我tm眼睛湿了。评论ky真牛逼吧
疯癫丧雄,保密,0,大17岁？不得不说真的要成哦吧桑了
风筝锚,女,0,感觉有点眼熟，不确定有没有看过，直到看到男主发缝，一下子想起来了[脱单doge][歪嘴][歪嘴][歪嘴]
社畜铁球,男,0,想到那个男子高中生捡离婚27岁女性回家的漫画，已经完结了而且结局也更棒，最后男女主不仅纯爱到底，还结婚了孩子也有了
喜多郁代有馬加奈,男,0,二次元的话 也不是不可能[doge][笑哭]
Quack_Hysteria,保密,0,我错了…我直接复制去jm搜发现没有，才发现是个正经漫[笑哭]
源氏光源,男,0,那么，名字呢
荒野大香客,男,0,装成这样还是喜欢她的胸而已
没有进步一直薯薯的T,保密,0,还得是你现实[笑哭]
重名人太多了,保密,0,问个纯爱本，男女主是夫妻，有个女儿，记得中间，把女儿送到类似少年宫的地方，还是奶奶家？之后就取钱去旅馆，然后女主do时穿了件白毛衣，剩余的就不记得了
史诗级呆鸡,男,0,看这种画风感觉画师画过本子[doge]
笑岔气的河豚,男,0,喜欢的不是女儿，而是我[doge]
鞎畘迚㝶䆩㰷,保密,0,谁家马克龙
好事崭新,保密,0,这种漫画在哪能看啊拜托
HarryFanHe,男,0,这不最近刚有个新闻是老师和高中生搞上的
抢力量的假面骑士DECADE,男,0,还是那句话，幻术的世界有什么不好！
云剑客熊猫,保密,0,马克龙赞助的漫画吧？
文静Esia,保密,0,[哦呼]似乎是美食广场的女高中生们在说些什么的作者
二二二烦烦烦,男,0,真大
隔壁家的Y菌,男,0,我记得这个好像是短篇漫画来着
箐風酔夢,保密,0,这老师还是单身吧？那还是没有现实科幻[doge]
超级麻辣猫条,保密,0,纯爱战神应声倒地，不再动弹
咲一咲菌,保密,0,男主这么小的年纪画的有点韩式的油感
高中牲一枚awa,男,0,呱！纯爱武神，我敬爱你口牙！
腌瓜王,男,0,好耶！再画五毛！
Autunels,保密,0,这个年纪保养这么好的老师果真是英语老师啊
召唤EA攻击表示,男,0,大17岁，朱见深看到了直呼理解[脱单doge]
了可一2号,男,0,这个老师三观很正，真的很甜。
白糖丶QAQ喵了,男,0,少了ntr元素
信仰清野神教吧,保密,0,老师我也想进步😭
神贯黑羽,女,0,男主画太帅了[藏狐]
聖園彌香,保密,0,35岁已婚化学老师👩🏻‍🏫
喜欢嘴臭的P小鬼,保密,0,纯爱没意思
被窝螯合物,保密,0,@Asunaここに
纳兰梦雪,男,0,后续呢，我要看后面回房子的剧情
水木金山,保密,0,两人相隔17岁，到底是想找个老婆，还是想找个妈呀？
god03128,保密,0,女方比男方大17岁，啊这…等男方到达结婚年龄，女方正好更年期[热词系列_六到无语]
中二的泡沫YL,男,0,妈的，我想起32岁老师出轨了[笑哭]
时光LightTime,男,0,跨辈分的不合常理但真实存在且治愈人心的爱啊！
万能杨总,保密,0,纯爱战士满意地点点头，转身离开了[墨镜]
薄荷柠檬加白糖,保密,0,只能说在喜欢你的人眼里，你的一切都是优点，老师的前男友只是想上老师而已，发现老师太过正直所以感觉很麻烦，但男主是真的爱老师[脱单doge]
ALBERTO菜鸡,男,0,md，要不是有那个逆天事，我还是能看下去的
这下是真寄了,保密,0,怎么有牛（魔王）啊😫
洛桑大帝,保密,0,紧跟时事[脱单doge]
恐怖貓爪草,保密,0,妈的，真大
辣个男人太帅了,保密,0,"太感动了，终于有处于平等地位的师生恋了
不过老师用的什么美容产品方便推荐一下吗？"
独尽余生,男,0,会说话请出书当老师啊啊啊啊啊啊！
柳州队长,男,0,在哪个软件看啊？
度丢蛋蛋,保密,0,紧跟时事
Asunaここに,保密,0,好看爱看，可惜我的漫画软件搜不到这个[委屈]
run豪,男,0,这画风有些海贼王的感觉
夜遊薬屋,保密,0,这是女性向吧
那由123,保密,0,你不说她35，我还以为15呢
目白泰坦,保密,0,呱，是开丰田supra的女人！我又怎么能抵挡了口牙！
幻心麒,男,0,"有人会说，我们之间有&#34;爱&#34;的羁绊，年龄不是问题，但时间也是一座大山。当男主20几岁生龙活虎的时候，女主可已经进入中年了。当男主40几岁步入中年的时候，女主已经是暮年之人了。仅仅有勇气根本不够，更需要的是一颗永恒不变的心。
其实这个年龄差看做姐弟恋已经不够了，真对标也得是&#34;恋如雨止&#34;，不过看到女主的动摇，这场雨可能还不会停下吧[脱单doge]"
月巴DO,保密,0,这个女主挺像《蜜月》的女主啊
残念グ,保密,0,太甜啦
星之泪泣,保密,0,但是男主有点反派脸
北冥快斗,保密,0,漫画名叫什么？[吃瓜]
墙角的铁罐,男,0,好歹是成年了[tv_思考]
喜欢恰包的小叮当,男,0,最猛的年纪遇见的最猛的你[doge]
Speed_GFI,保密,0,有英雄吗[笑哭][笑哭][笑哭]
LADFD,男,0,马，马克龙？
李其歌,保密,0,这个好像看过[吃瓜]
二次元の我们,保密,0,年龄过了20岁之后就不是问题了。
白天不懂夜的非,保密,0,只要胆子大（                        ）
希冀于你,保密,0,额，感觉是女性向作品😂
十年牢粉不请自来,男,0,我在等烈
葬花与心,男,0,纯爱暴击
雨-中-客,保密,0,幽默
乐土女酮_,保密,0,120401搜不到啊
龙汉天尊,保密,0,@本子魔法使 召唤！
慎予,男,1,一般这种视角我都会归类到女性向，但是我这个男生也挺喜欢看，毕竟我对纯爱一般都是来者不拒[doge]
『思ヤ夜』,男,0,“我无所谓！”
艾拉的香草花园,保密,0,道长为了道观真是什么都敢想啊[doge]
绯红色琉璃,男,0,看着就像本子画风
_南瓜大王,男,0,suuuuuuupra！！！
潆映棠,保密,0,清淡？清淡！只是清淡？！有tm这样的女生？这么保守爱干净、性格还好、外表爆表？大海捞针是吧，不得被小男生奉作神？？啊，男主就是小男生啊，那没事了。厨男科幻片是吧。
上条家的斯芬克斯,男,0,这还不do到天昏地老天昏地暗颠鸾倒凤不知天地为何物的话一律认为锌无能[给心心][给心心][给心心][给心心][给心心]
忧之灵,男,0,嚯嚯嚯，夸脏哦，这都有纯爱看的
蒸雪Ss,男,1,当老师的看了有点恶心🤢
中二的微蚁不是变态,保密,0,"漫画里：
学生：老师，我喜欢你
老师：好啊，来啊，抱抱你
现实：
学生：老师，我喜欢你
老师：？？？你知道我教资考了多久吗？！"
